Question,Answer
What is the process to post a journal entry for a specific date in Busy?,"To post a journal entry for a specific date you need to follow the steps 
 Step 1: go to transaction menu and click on journal and click to add
 Step 2: select the series and specific date you want and then post the accounting entry and save the voucher."
What is the process to reactivate a voucher number in busy after cancellation?,"To view the cancelled voucher number then follow the below steps:
Step 1: Go to display and click on checklist option
Step 2: Click on voucher numbering reports and select cancelled voucher numbers option
Step 3: Select voucher type as per your requiredment and mention the date range 
Step 4: Then list of cancelled invoice will be visible and open the required voucher view it."
What is the process to reconcile bank statements in BUSY?.,"For knew the process of reconciliation statement in busy please follow the below steps
 step 1: first you need to ensure that bank reconciliation option is enabled from accout configurations 
 step 2: go to the bank reconciliation option under display menu
 step 3: then click on show all entries 
 step 4: select bank account , start and end date also there is other option you can select as per you required then open report 
 step 5: after open report you can see all entries related to bank 
 step 6: click F4 on voucher to clear mentioned clearing date . 
 step 7: after clearing voucher you can see bank reconciliation statement ."
What is the process to post tax payment voucher n Busy?,"To post tax payment voucher in Busy, follow the below steps:
Step 1: Go to transaction menu then select payment voucher and click on add tab.
Step 2: Now, Specify the voucher series, date, voucher number then select gst payment to government option in gst nature field.
Step 3: Next, post the accounting entry for GST payment then while save gst payment details window will appear in which you need to select gst payment type and period of ending.
Step 4: Afterward, update the challan details and save the voucher."
What is the process to record a payment made to a vendor in Busy?,"To record a payment made to vendor in busy, you need follow these steps:
Step 1: Go to transaction menu then select payment voucher and click on add tab.
Step 2: Now, Specify the voucher series, date, voucher number then select not applicable option in gst nature field.
Step 3: Next, post the accounting entry for payment then save the invoice."
What is the process to record payment receive from customers in BUSY?,"To record a payment receive from customer in busy, you need follow these steps:
Step 1: Go to transaction menu then select receipt voucher and click on add tab.
Step 2: Now, Specify the voucher series, date, voucher number then select not applicable option in gst nature field.
Step 3: Next, post the accounting entry for receipt then save the invoice."
What is the process to record rent income or payment in Busy?,"To post rent income or payment voucher in Busy, follow the below steps:
Step 1: Go to transaction menu then select journal voucher and click on add tab.
Step 2: Now, Specify the voucher series, date, voucher number then select gst nature as per requirement.
Step 3: Next, post the accounting entry for rent payment or rent receive then save the invoice."
I have done some changes in the bill sundry which added in multiple vouchers.How to get impact in all other vouchers without saving each voucher manually?,"To get the impact in all vouchers for the changes has been done in the bill sundry then follow the below steps.
Step 1: Take the backup of your data
Step 2: Go to display and click on housekeeping menu
Step 3: Click on regeneate dual voucher and choose the voucher type and click on ok button after selecting all vouchers or as per your need."
What is the process to reverse GST on purchases if payment is not made within days as per new government rules?,"To reverse your GST on purchase if payment not made within 180 days, you need to follow these steps:
Step 1: Go to Transaction menu and select Journal voucher.
Step 2: Click on Add and enter the required details such as Date, Vch number, etc.
Step 3: Select GST Nature as GST Tax Adjustments and pass the entry.
Step 4: When you save the voucher you need to select GST Adjustment Type as ITC Reversal / Ineligible ITC and rule as required then save the transaction."
The invalid tax rate error is showing while saving the sales voucher.How to fix it?,"To resolve the invalid tax rate error in the sales voucher then follow the below steps.
Step 1: Ensure that you have selected the tax category in the item master.
Step 2: You have selected the correct sale type as per single or multi tax rate."
